127.0.0.1 - - [11/Dec/2017:15:27:15 -0600] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:27:16 -0600] "GET /messengerApp/webapi/messages HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:27:21 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:27:43 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:00 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:08 -0600] "GET /messengerApp/webapi/messages/2 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:19 -0600] "GET /messengerApp/webapi/messages/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:24 -0600] "GET /messengerApp/webapi/messages/2 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:35 -0600] "GET /messengerApp/webapi/messages/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:33:43 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:34:07 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:34:12 -0600] "GET /messengerApp/webapi/messages/2 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:34:18 -0600] "GET /messengerApp/webapi/messages/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:47:59 -0600] "GET /messengerApp/webapi/messages/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:48:04 -0600] "GET /messengerApp/webapi/messages/2 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:48:20 -0600] "GET /messengerApp/webapi/messages/2 HTTP/1.1" 200 88
